cluster_name	basin_residual_rank	latent_residual_delta_beta	module_id	EVT	SP	EVT_calls	SP_calls	EVT_minus_SP_beta
cluster_2623	1	-0.1966477625952775	M05			0.0	0.0	
cluster_6262	2	-0.1912454605053165	M10			0.0	0.0	
cluster_6892	3	-0.1797887109823562	M05			0.0	0.0	
cluster_5678	4	-0.1645691559665318	M10	0.08860759493670886	0.08	79.0	100.0	0.00860759493670886
cluster_3275	5	-0.1422064863349969	M05			0.0	0.0	
cluster_4373	6	-0.1361948309072878	M01			0.0	0.0	
cluster_4141	7	-0.1345314971598012	M05			0.0	0.0	
cluster_7042	8	-0.1297927692615848	M05			0.0	0.0	
cluster_4605	9	-0.1245572055941755	M01		0.0	0.0	1.0	
cluster_6498	10	0.1233684733597841	M12			0.0	0.0	
cluster_2743	11	-0.1179709977870684	M07			0.0	0.0	
cluster_6960	12	-0.1150872869677093	M01	1.0	0.0	1.0	2.0	1.0
cluster_1742	13	0.1109335240179164	M08			0.0	0.0	
cluster_6655	14	-0.1006123569637234	M01	0.8424242424242424	0.8461538461538461	660.0	689.0	-0.0037296037296037365
cluster_4404	15	-0.0972246935380607	M01			0.0	0.0	
cluster_543	16	0.0903190284088766	M08			0.0	0.0	
cluster_4026	17	0.0834739790170535	M03			0.0	0.0	
cluster_4904	18	0.079519979974636	M12		0.0	0.0	1.0	
cluster_6651	19	-0.0778453896585507	M01	0.41509433962264153	0.7727272727272727	53.0	44.0	-0.3576329331046312
cluster_5923	20	0.0774541554875099	M09	1.0	0.8	1.0	5.0	0.19999999999999996
cluster_242	21	0.0773625907521746	M01			0.0	0.0	
cluster_6087	22	-0.0747346449206742	M10		0.0	0.0	1.0	
cluster_6495	23	0.074610828498747	M09			0.0	0.0	
cluster_7072	24	-0.0731353853165772	M01	0.21428571428571427	0.6052631578947368	28.0	38.0	-0.39097744360902253
cluster_2190	25	0.0710896289019975	M12	1.0		1.0	0.0	
cluster_587	26	-0.0693649918891212	M05			0.0	0.0	
cluster_125	27	-0.0639287189875389	M07	0.0		1.0	0.0	
cluster_5002	28	-0.0620667827294791	M01	0.5792349726775956	0.5846007604562737	915.0	1052.0	-0.005365787778678133
cluster_643	29	0.0618002006883134	M13	0.9156626506024096	0.94	83.0	50.0	-0.024337349397590358
cluster_832	30	0.0616692971968747	M01	0.4722222222222222	0.5096153846153846	144.0	208.0	-0.03739316239316237
cluster_5679	31	-0.0613185877440524	M01	0.3333333333333333	0.6666666666666666	21.0	15.0	-0.3333333333333333
cluster_1387	32	0.0591703250537913	M12			0.0	0.0	
cluster_6114	33	-0.0590051237513787	M01	1.0	0.875	4.0	8.0	0.125
cluster_1764	34	-0.0569407704222629	M15	0.0	0.0	5.0	5.0	0.0
cluster_5661	35	0.0516704121145394	M01	0.0		1.0	0.0	
cluster_6975	36	-0.0499656462751898	M03			0.0	0.0	
cluster_3348	37	0.047389319232879	M02			0.0	0.0	
cluster_5977	38	0.0462132483412721	M06		1.0	0.0	3.0	
cluster_4909	39	0.0455104341629634	M15		0.0	0.0	1.0	
cluster_1718	40	0.0448208684134199	M00	0.4	0.8	10.0	15.0	-0.4
cluster_6532	41	0.0433800224032729	M09			0.0	0.0	
cluster_2365	42	-0.0420659517157953	M07			0.0	0.0	
cluster_1758	43	0.0414697851795486	M01	0.0		1.0	0.0	
cluster_6604	44	0.0406870160028717	M03			0.0	0.0	
cluster_3519	45	-0.0396155009392248	M01	0.4834710743801653	0.4749034749034749	242.0	259.0	0.00856759947669039
cluster_916	46	0.0347796982761695	M02			0.0	0.0	
cluster_3684	47	0.0330316810641798	M02			0.0	0.0	
cluster_1556	48	-0.0326013937956062	M00			0.0	0.0	
cluster_6143	49	0.0324829247082393	M08			0.0	0.0	
cluster_5240	50	0.0306570107148617	M06	0.6	1.0	5.0	1.0	-0.4
cluster_4364	51	0.0287617835195389	M04	0.42857142857142855	0.3333333333333333	7.0	3.0	0.09523809523809523
